ISBN,Popularity_Class
0316666343,head
0385504209,head
0060928336,head
0345370775,head
0446672211,head
0743418174,head
0671027360,head
0971880107,head
0375727345,head
0786868716,head
0446310786,head
0312195516,head
0142001740,head
0316769487,head
044021145X,head
043935806X,head
059035342X,head
0316601950,head
0440211727,head
0590353403,head
0345417623,head
0440213525,head
044651652X,head
0345342968,head
067976402X,head
0060392452,head
0804106304,head
0385335482,head
0345337662,head
0452282152,head
0399501487,head
0671001795,head
0345313860,head
0385484518,head
0439136350,head
1400034779,head
0440214041,head
0446605239,head
0060976845,head
0842329129,head
044022165X,head
044023722X,head
0156027321,head
0060987103,head
0671021001,head
0440220602,head
0070212570,head
0316284955,head
0440226430,head
0375707972,head
0140293248,head
0312291639,head
0440224764,head
0312278586,head
0679429220,head
0446532231,head
0345361792,head
0440221471,head
0451524934,head
068484267X,head
0060502258,head
0440241073,head
0671003755,head
155874262X,head
0679746048,head
0446610038,head
0064407667,head
0439064864,head
0446608955,head
0061009059,head
0060930535,head
0679745203,head
034540288X,head
0439064872,head
0385511612,head
0440206154,head
0439139597,head
0380789019,head
0140067477,head
0446610399,head
0140298479,head
0684874350,head
0312924585,head
0345353145,head
0812550706,head
0380718340,head
0553296981,head
0380789035,head
1400031354,head
0060915544,head
0375504613,head
0440222656,head
0439136369,head
044651862X,head
0440212561,head
0425147622,head
0440215625,head
0842329242,head
0670892963,head
0142000205,head
0316569321,head
0380018179,head
0440234743,head
0842329218,head
0786881852,head
0553250426,head
0385730586,head
0345350499,head
0425154092,head
0767905180,head
0440219078,head
0385508042,head
1573225789,head
0446606812,head
0312966970,head
0446364193,head
0375725784,head
0312305060,head
080410753X,head
014028009X,head
0345339703,head
0743211375,head
0452264464,head
0385505833,head
0451526341,head
0345339711,head
0451177096,head
0345378490,head
0312980140,head
068484477X,head
0441003257,head
0451169530,head
0425169863,head
0671041789,head
0380977788,head
0440498058,head
0439139600,head
0805063897,head
0671880187,head
0060987561,head
0312971346,head
0451184963,head
0451191145,head
0671027387,head
0380718332,head
006101351X,head
0375706771,head
0316096199,head
0380002930,head
0345439104,head
0375700757,head
0671510053,head
0446612545,head
0345443284,head
0345391802,head
0670030643,head
0618002219,head
0671004573,head
0446670251,head
1558745157,head
0446601241,head
0451156609,head
0425182908,head
0425152251,head
0316776963,head
0767905385,head
0385335881,head
0743418204,head
031242227X,head
0375703063,head
0060938455,head
0151008116,head
0743235150,head
0671617028,head
0345413903,head
0345378482,head
0440236673,head
0380730138,head
0385486804,head
0440226104,head
0553279912,head
038550120X,head
089480829X,head
0446516538,head
0553271636,head
0345351525,head
0451186362,head
0440211263,head
0061015725,head
038542017X,head
0553572997,head
0345409671,head
0375726403,head
0380012863,head
0670865796,head
1878424319,head
0385490445,head
0385498802,head
080411109X,head
0345384350,head
0684801523,head
0684848783,head
0786817070,head
0446607657,head
0553250531,head
0441304834,head
0671024248,head
0743227441,head
014038572X,head
0451169522,head
0312983271,head
0312171838,head
0425115801,head
0345339681,head
0446609404,head
0312995423,head
1559029838,head
0312966091,head
0786867647,head
0312976275,head
0449212602,head
0618002227,head
0440224675,head
0671011367,head
0440236703,head
0375760911,head
055321313X,head
0449006522,head
0399149155,head
0743486226,head
0451137965,head
0553213105,head
0425167313,head
0385265700,head
1558744150,head
0767907817,head
038533334X,head
0679446486,head
0553573136,head
0345387651,head
0743237188,head
0671042858,head
0743439740,head
0446605484,head
0312243022,head
0312983824,head
0894805770,head
0553260111,head
0380710218,head
0425153975,head
0099771519,head
1400031346,head
0060199652,head
0060987529,head
0385503822,head
0670894605,head
0140386645,head
0385335830,head
0380813815,head
0399148027,head
0684872153,head
0812511816,head
0451172817,head
0684865742,head
0515130389,head
0385503954,head
0515131229,head
0767913000,head
0380778556,head
0345348036,head
0060959037,head
0515132020,head
067088300X,head
0446612790,head
044048474X,head
0446611867,head
0345391055,head
0064400557,head
0671867172,head
0316693006,head
0385472951,head
0425180638,head
0609804138,head
084233226X,head
044022425X,head
0452284449,head
0140258795,head
0553574574,head
0440940001,head
0066214122,head
1558531025,head
0316969680,head
1400032717,head
0679444815,head
0553274295,head
0380001411,head
0385420161,head
0142001805,head
0385510438,tail
0451166892,tail
0312980159,tail
0842329285,tail
0765342987,tail
0312265859,tail
0441569595,tail
0375703764,tail
0374129983,tail
0345445848,tail
0385497466,tail
0425107469,tail
014025448X,tail
0345384369,tail
006016848X,tail
0312422156,tail
0440225701,tail
0385721420,tail
0060934417,tail
0684853507,tail
0425192725,tail
0446365386,tail
0399146431,tail
0767914767,tail
014029628X,tail
0425163407,tail
0425136981,tail
0515127833,tail
0385722206,tail
0060958022,tail
0449219364,tail
034538475X,tail
0451153553,tail
0345413350,tail
0671729411,tail
0767915054,tail
0689710887,tail
0385324057,tail
0345441265,tail
0060173289,tail
067172262X,tail
0312306326,tail
0425099334,tail
0671888587,tail
0312263120,tail
0062502182,tail
0449005615,tail
0060096195,tail
0451176464,tail
0684857820,tail
0441002935,tail
0316781266,tail
0670880728,tail
0553582763,tail
0140244824,tail
0316690619,tail
0452282829,tail
0553277472,tail
0440235596,tail
0679723161,tail
0446610542,tail
0553210092,tail
0345384466,tail
0451180232,tail
0316182540,tail
0330332775,tail
0449003795,tail
0345424719,tail
015100692X,tail
0553280341,tail
0385720106,tail
0316779423,tail
0553268880,tail
0316782505,tail
0375705856,tail
0451409973,tail
0385503857,tail
067102423X,tail
0425144429,tail
0451191153,tail
0316788228,tail
0553275976,tail
0802135196,tail
0786889020,tail
0553284789,tail
0451142934,tail
0441004520,tail
0451170385,tail
0316777722,tail
0671034022,tail
0345425707,tail
0877017883,tail
0553279378,tail
0452281903,tail
0375703055,tail
0525947647,tail
055327886X,tail
0312986343,tail
0553273914,tail
0061097853,tail
0451202503,tail
0373250223,tail
0804115613,tail
0671701231,tail
0446606189,tail
0345465083,tail
0451206525,tail
0440217547,tail
039480001X,tail
0446523569,tail
0142004235,tail
0679735771,tail
0142002267,tail
0670894184,tail
002542730X,tail
0345435168,tail
0064400565,tail
0316969443,tail
0553293354,tail
031298328X,tail
0451188462,tail
0380731851,tail
0425158616,tail
0380814021,tail
0684814994,tail
0312265867,tail
0446608890,tail
0451167317,tail
0811824829,tail
0802130208,tail
0345453387,tail
0385722435,tail
0553582755,tail
0451409256,tail
0679751521,tail
0515136530,tail
0786885688,tail
0842329277,tail
0451169514,tail
067976397X,tail
0345441036,tail
0312979096,tail
0425124347,tail
0440998050,tail
0671727796,tail
0316777730,tail
0312990456,tail
0061097861,tail
0064471047,tail
0380710722,tail
0064472272,tail
0061097101,tail
0804114986,tail
037325024X,tail
0141000198,tail
0553279556,tail
0380759497,tail
0684833395,tail
0316602906,tail
0316143464,tail
0446613266,tail
