UserID,Rec1,Rec2,Rec3,Rec4,Rec5,Rec6,Rec7,Rec8,Rec9,Rec10,Rec11,Rec12,Rec13,Rec14,Rec15,Rec16,Rec17,Rec18,Rec19,Rec20,Rec21,Rec22,Rec23,Rec24,Rec25,Rec26,Rec27,Rec28,Rec29,Rec30,Rec31,Rec32,Rec33,Rec34,Rec35,Rec36,Rec37,Rec38,Rec39,Rec40,Rec41,Rec42,Rec43,Rec44,Rec45,Rec46,Rec47,Rec48,Rec49,Rec50,Rec51,Rec52,Rec53,Rec54,Rec55,Rec56,Rec57,Rec58,Rec59,Rec60,Rec61,Rec62,Rec63,Rec64,Rec65,Rec66,Rec67,Rec68,Rec69,Rec70,Rec71,Rec72,Rec73,Rec74,Rec75,Rec76,Rec77,Rec78,Rec79,Rec80,Rec81,Rec82,Rec83,Rec84,Rec85,Rec86,Rec87,Rec88,Rec89,Rec90,Rec91,Rec92,Rec93,Rec94,Rec95,Rec96,Rec97,Rec98,Rec99,Rec100,Rec101,Rec102,Rec103,Rec104,Rec105,Rec106,Rec107,Rec108,Rec109,Rec110,Rec111,Rec112,Rec113,Rec114,Rec115,Rec116,Rec117,Rec118,Rec119,Rec120,Rec121,Rec122,Rec123,Rec124,Rec125,Rec126,Rec127,Rec128,Rec129,Rec130,Rec131,Rec132,Rec133,Rec134,Rec135,Rec136,Rec137,Rec138,Rec139,Rec140,Rec141,Rec142,Rec143,Rec144,Rec145,Rec146,Rec147,Rec148,Rec149,Rec150
242,0380730863,0694526282,0380789612,0380977273,0553230964,0380789590,0380977265,0553280325,055327449X,0553205196,0553236202,0553277537,0553263633,0394578775,0380973839,0553561057,0345342968,0440155592,0553229680,0345410017,9506440298,3453164121,9505470010,0394547039,0679723056,3125776600,0486277941,8433920669,0001047973,0060809833,1572703024,2266023101,0316769509,1572700645,0440194784,840142285X,0060929871,0330285521,843392057X,0060830956,0394712811,0871133741,0380633132,0399145052,0679722319,0393313964,0679723692,0861300041,0679417397,0140185852,0224051261,0890092087,0553203487,0140018328,0060907010,0316769029,0486295699,0684174685,3499108518,0684824485,2207251756,0679415874,0312940181,0142437212,1931520011,0929587227,0451525620,002411510x,0929587782,0451519841,0141310340,0316769495,0345354435,0440219078,0393315088,0385333846,0460078402,0451522389,0671008668,0684825864,0486289990,0440185335,0875291201,0553250256,074931723X,0393304426,0399501487,0684183560,0451524934,0352330015,055321439X,0345335872,3453164199,0449300439,0872861562,0451519299,0393312836,0893753475,0385334176,157815121X,0140622500,067960085X,0395645662,0679745653,006080985X,0393950255,0486404293,0440228921,0374515360,0316769487,0385333811,0020518609,0140158073,1566197589,0918736358,0385334206,2264027681,0156011484,0140006680,0895773325,0449214176,0679435832,0385491042,0586024190,0449211320,0385333870,014044470X,0486270610,055323224X,0553212621,0684833662,042515954X,0451526643,0224019147,0151004161,0140239405,0142000426,0812505042,0345447980,038533351X,0395593530,1860920330,0679430717,0812034074,0140182217,0440111498,185326007X,3423106255,0486270602,0802130305
254,156389470X,0312873972,014230218X,0312875681,0380804557,0812565495,0060934719,0812551583,0961035269,0312874006,0812538986,0812516214,0812534085,0312865104,0812516206,0451172116,0312890044,0345423402,0380789019,2277260029,2290303348,1401200893,0061008338,0345423429,0345435273,044100928X,0380817705,0515133876,0060558121,0441005241,051513452X,0451451430,1563890828,0440241057,1563890895,0440241065,0380977788,0515134457,0765343266,0441002935,0449006352,1563897474,0380807343,0441004520,0425181685,034544356X,0425188361,0060577487,0765342456,0441006841,031284879X,0060193751,0440241049,0821771485,0441008534,0060531231,0930289595,1565041992,0451191471,0515134503,044100895X,0312848803,0440236606,0441009239,1563890119,0440236630,0441005748,0441010512,1563892057,0380809176,0441007813,0380815575,0440226015,0765345013,0765300346,0441003745,0312872402,0451206940,0451207122,0263823091,0515134473,0380800829,0515134481,0451459423,0375500200,038082082X,0451458990,0821771701,0451206754,0440241111,0821772902,0440226007,0064407470,0312867034,0451200373,0312848811,0786889527,156865684X,0380815346,1563891875,0441002617,0142501530,1563893339,0449006379,0380811081,0451203453,0843948175,0373802021,0142501433,0765347539,0441005349,0451411129,0553581651,0821768638,0440236908,0373291639,0373292392,0515134511,0821767232,0441001971,006073941X,0380820048,342661801X,0821747983,0312290691,0380812037,0099368307,0821776045,0060002069,0380815257,044100069X,0380811995,0698119509,0765345048,1568959753,0399149368,0505525305,0060002050,0006754864,0373835396,0440235618,0380812010,0451208366,0451202791,0553582003,0505525178,0441003257,0671026828,0380812975,0515134465
388,1887128964,0684867974,015600531X,0465014909,0931188458,0609805002,1563410443,0743205405,1852424052,0684831139,0679761802,0517886685,0805063889,0786863323,0922915776,0743213831,0679450378,1582342768,B00007MF56,0393323544,0525939210,345317772X,0395954290,157322068X,0446314986,0743223527,0670892742,0385498527,1569472807,0684866005,0517704927,1573229628,0375405046,067944243X,0385491069,0970367201,0743255224,0525946756,156025551X,0964374099,0743236017,0812216431,0684863472,0446679046,0743471091,067085414X,0618164723,0805063897,0671226851,039568093X,0385265263,1885171277,1582431477,1400034639,097033558X,0060957409,0140279474,0312269218,1586480499,0345413938,1580082319,0965036022,1573228192,0618246959,0618446702,0385491085,0702231916,0553377922,0786884088,1400032016,0684835525,0385126514,0140263942,0671898019,0618258108,0679767789,0517576988,8466612815,0449205452,0525935231,1565840003,0446936383,075820177X,1582342644,0786006005,0345445724,0060936975,0156001888,0810942712,0896084744,1565848241,0446300101,0743229339,1890451053,1569245134,0385484011,0395710847,0156586509,0375413081,0743406567,0394574567,0618082328,0385418574,0375503854,0312263899,0679603301,1585422444,038550084X,140004832X,0820317594,0671459716,1873176031,0060915188,0553377892,080411059X,0140296298,0385265565,0142000183,0679443908,3492045642,0449213765,0553801821,0375408908,0679760237,0374527229,0385491115,0374226075,0671871501,0060086386,0688093043,067181785X,0425173305,0805075453,0684863871,0375725784,0571175112,1887128425,0385491077,0440217806,0743221834,0670804541,0553377930,0312283709,0553560468,0609608126,0743434013,0385491042,0375404023,1565120892,031242227X
392,8432206407,8420441619,0553060813,8420442569,8401376734,8432207829,1852421312,8429714316,8420482684,843223012X,8432069116,8432205451,1852427426,8432069140,1852427000,8403092024,848256286X,8432207292,8420465577,8483101629,8432210900,849204683X,8439702434,8420441694,0140271414,8433968513,8475962149,8420481904,8423328422,8408011324,0553273604,8401423465,8420483834,8401324815,8432211427,8478082980,9681617827,3608933867,8433914588,0380732734,8483101610,8483002523,8466303316,8484321207,0811212777,8470176986,8433920723,8403597282,8429714626,8420442127,848460103X,3379001252,8420483869,9871106181,8423309150,8420481882,8408043641,8439706073,8432053236,8423309754,2070259811,8420442283,8434411091,8423974758,0140283595,8495501171,8472236552,0460877305,8408050133,8420483508,8420483885,8420441708,8423334678,8432068209,8479793740,8484500020,950491036X,8478444424,8403598505,8471480506,038071129X,950072040X,8472234320,9681908716,2742739351,8439708963,8403599269,848300464X,2070378233,8420427845,8434442418,8433910892,8408020137,8429434895,8420484385,0374223270,0151005346,0446690783,8423906205,8408046756,8484504328,848300268X,8408022563,8420482013,8420483125,8432204285,8408027530,0871133792,8488471009,8408019899,8420483591,0156006391,9681336089,0060152567,0060936363,8423330362,8433910787,8478885749,8401427533,1878825038,8475961762,843506011X,0156002728,0151002835,8477270384,8433923129,0156010593,0156006243,8432068012,8432055875,8485211766,8423309894,8401374618,0151001812,2020315491,8420443107,1590170180,8466300554,848460246X,2020550776,0553377868,8402083129,8420480509,0838481248,8433917382,8420442402,843501665X,1875284028,0156006847,8408033700
503,0140266259,0671023373,0807029181,0671244221,0060977477,0345340833,0671605593,1558216847,0671673009,0060920432,0553375067,006101351X,0440237084,0451198808,0465021182,038000321X,0684813149,039304016X,0671250671,0671528165,0786869143,0684848597,0385492081,0679723064,078670621X,0385312628,038000772X,0385488181,0898861098,0060936142,0805061835,0786707887,0060171928,0743243153,1573221503,0452282764,0425174484,0399142886,0312283407,0434106925,0684835614,0809237237,0452011116,0679457526,0679406832,3423362111,0062516507,0060088613,0380711508,0525945210,067972902X,0809139448,044914688X,0684865459,0385502893,0312965338,0679763309,B0000DAPP1,1556703856,0553209779,1572241934,0761110526,0380728249,0394724550,3518374508,0679448772,0345445724,1889140112,0449200248,0380813394,0385486804,0440226198,0553263900,0140441409,0385315511,3548359698,0060958340,0842309276,3492221009,0140062254,0393010465,0201567792,0393057445,0874778883,0006550924,0553271067,0394557433,0553381407,0880293225,0684801280,1570621608,0767905938,0385486871,0671797999,0679723935,0440156637,0671781596,848088455X,1579620140,0440154138,0960695400,0786885475,0670841838,0688094554,0671733354,080661711X,1558746927,0385155115,0688140718,074322423X,0316235024,0671723650,0684843137,0684870746,0451627318,0425183270,0805461558,031229137X,0380810336,2290300381,1400060931,0452281326,038523502X,0553573659,1887424520,0399141448,0740705709,0394589130,0609608746,0451115589,044050421X,014005264X,0618155481,068483720X,0884043789,0140287442,0688034276,0446519073,0563371021,0375507493,0393001342,0865471185,0553213873,0553273825,0060926317,0802713769,0553569074,0932194869,157062383X,0394574567
505,0345446976,0944708234,0965248127,0312243340,0786866837,0070246440,1583913580,0375707336,3332006029,0380790823,0060969911,0446517410,0451410513,1591130875,0446670642,0312242654,0563487496,1579545122,1891400495,0786889616,0553153706,0446606960,0061096113,0743211456,0440226198,0786889284,0425181928,0553382179,0553577506,0786011998,0312284888,1551667479,0684802031,1566194024,042517770X,0316235024,0786890002,0563534753,0385502893,0786015047,1582970033,0688162827,0451203054,0743456866,0340696109,1556780648,0451203291,0534011160,0786867248,0688166911,0446341932,0312983832,1565073193,0515135747,0671047515,0743407059,0743221990,1840672544,0312965672,140004538X,0312984235,0345444566,0671701231,0452280133,0131867199,0440503744,0671708635,0671024108,0451410106,0060514930,0060931159,0060984406,0451198387,0804114250,0786012374,0060542799,0684855631,0425184420,0786883367,0312988699,1583762078,0071379444,0786006579,0671024086,0446531588,0684871262,080661711X,0425098478,0312264143,0671663984,0060977604,0385499035,0671047507,078688391X,1551669455,0425128466,0743257480,0446609943,0440237262,0811824829,0345378261,0380977311,0671034251,0380805995,0684850397,0312984685,0399144463,1400047943,055358295X,0743437810,0452265932,0451201256,0061030430,0312975740,0743437802,0751533068,0446605360,0671559737,0821739352,0060008865,0451188489,0451204603,0375509194,0743227840,0671042262,0743222008,0684814153,0821728334,0312205279,0553802526,3423362111,1568658478,0743407067,0399146245,0684850028,0515115231,0743201957,1555837336,0743407075,0743410467,0345452372,0446604534,1551666596,0671026011,038533558X,3404128753,0525947345,0440237424,0060005556,0688048730
638,0316710571,0446611085,0446679593,0446615145,0446613843,0316602051,0446612790,0316969680,0446612545,0316666009,0316777722,1570428654,0446613266,0316143464,1586215027,0446611212,0345404785,0345404793,0316693251,0316603570,0316693235,038572151X,0316602906,1586210564,0446609404,0316779237,0316690619,0446605484,0316777730,0613336070,0425184943,0439474140,0679450432,3518383973,0446601241,0446608815,0446610038,3462032054,0399148027,0517706814,0451203895,0679749535,1400034671,0446676438,0446606189,0425184757,9500720418,0743476867,006095129X,0425167313,0451203658,0316693286,1401396704,0440340608,342311360X,0446608890,080213825X,038542017X,0060730315,0446525774,0688180728,0345404777,0425168700,0446607657,0385474016,0316693294,0743463544,0446603716,0060595833,0446600474,0822216310,0679450408,0446613061,0446603929,0451205758,0425164403,0743528298,0312313810,2253154830,0446604801,0679463135,0394561619,0385471483,0061031445,0316693324,0385507607,0446364193,0971766711,0345300203,0385721234,0446600466,0425161285,0618231617,0060936363,0786887060,0375413634,067976402X,0684867532,950072040X,0316693642,1559278757,0679462988,034532532X,0553382241,0446609323,0140119906,038550084X,0375712925,1400034957,0425166848,1400060117,0373250509,0671015648,0316919896,0374148600,0060959606,0446610399,034543739X,0345457641,3453177800,0156002728,0553280589,0451409973,0451207874,3453198824,0140245596,0385333412,0399145079,0140292683,0446610100,0066211611,0349111863,0345386132,0395944023,0609810030,0451410580,0345404769,0375760628,0399150749,037570485X,037570731X,0060556870,006059537X,0446690155,0446530743,0679429883,0425146812,0373250460,074324642X,0060187840
643,2070420744,2749101263,0671037676,1556704119,2895400644,2070385132,3434545018,0571206530,1888444088,2070726908,2020336553,2070364232,2258061474,2760407721,8472237966,2010184130,0385125038,2884454675,2266127896,2234054036,3423703954,2842192702,0340792140,2070410994,0140552936,089565895X,3442447488,0812065689,2747006468,2804605876,2264023813,0440416655,2070756319,2070381404,0805067868,8483100630,2081646161,2290319872,0688176518,2070382753,0333908198,848310766X,0802773877,0375503862,2070415066,2884454934,0340265256,8433920065,2070374742,207033015X,2266115413,0789439298,1570625387,8488791917,0752866052,0744568781,2253021539,2253028274,0140302395,2290046310,0552548472,8420443026,2221093070,0224008080,3440094960,9076953422,087923573X,3502517959,2277303046,1890132322,2070583333,202010931X,0752866273,8420448133,0752866230,0140622268,2070744833,0394931289,2070717399,0816733082,0752847775,8484601994,2070388905,0812966430,2253030023,0752846582,0500277591,0330028715,3442443717,0590216872,8432047015,0843176849,0752847740,0743482530,0752818643,2266046136,1841810517,2266085778,0241102812,0141800739,0752866214,225303598X,2070371700,0752848151,3704016632,2803616998,8420613487,2253005274,0207183554,0763605573,0749708042,0439098262,9682321557,2253000140,3492233708,2803437813,067940676X,0340191694,2070513653,2246586313,2070408507,2070385035,0349109699,3492234429,2207226107,0752847732,042518627X,0749309903,2070517845,842060657X,2211050735,273811167X,2264016698,9813056096,0374453101,0590475460,0689831404,2226125809,0965645363,2253005258,2290321559,2253137243,2253140708,0394588258,0679890998,0917201698,078946358X,0156030241,2070366790,3406434576
651,0425044688,0441010156,0441813046,0399137599,0553373064,0553253964,0812589734,0441010296,0708880762,044100900X,0812584236,0061057908,0439176824,0142500372,0886779898,0590897985,1568581491,0061057894,0689845367,0523414811,0553234617,0142501530,0812584228,067988288X,0553273310,0064471969,189609595X,312577540X,039914501X,031286258X,0345350103,2290303607,0553262505,0812575490,0812522370,0064405737,0441007376,0590554093,059049418X,0140386351,038079439X,0606034595,0812532597,0451453204,015216250X,0440918022,044021985X,006105609X,0152008640,0812568788,0380750260,0886779995,015297850X,0345325206,0380010038,0671554468,067980112X,0345260090,055325121X,0679801111,0671654160,0812589696,0439163099,067988291X,0312873972,0679889175,0345434676,0345336038,0812536355,0671653989,0689832877,0441006329,0439436559,0449703746,0441004997,0440901839,0142501433,0679801138,1563891875,044652560X,0345350367,0812532538,0375801588,0689860064,0812585658,0141309814,0441008356,0441007201,0671876775,0812532988,0590402803,0312980353,0440228921,0886778905,0020446500,0451163710,0440219078,0765341581,0812533550,0765301679,0316070211,0590897993,0435121723,0312287364,0553577778,0761119396,0886778972,0440229499,0446692840,0671531360,1587152355,0385293054,0441225691,0312093586,014131088X,0708882919,0671656473,0141306009,0064408620,0671658662,0812575482,0142300985,031286860X,0553234595,0553247271,0698118685,0553581279,8401490979,0679882898,0441009328,0441003583,0061050946,002035620X,0886775132,0590605135,0345357620,0060166932,0451450965,0671721887,0812500865,0312867778,0553234609,0345361083,0440228166,0141304340,0374416842,055356241X,0812547470,0553118358,067157812X
709,0446673021,0446608556,0385293054,0671502859,0671554468,0671658662,0064471098,0064405044,0590405985,0064471063,0060234954,006440501X,0060234865,0006716652,0064471071,0060234881,0064471055,0020442807,0020442009,0064405001,0066238501,0064405028,0064471195,0060234970,0020442602,0439207843,0743437322,0439062802,0060298774,006447108X,0020442203,0064409430,067988288X,0064409422,0439182980,0020442505,0590494236,0439420792,0020442300,0064404994,0590629794,0439306078,0590554093,0141303484,0590762575,043920772X,0689840349,0590997262,0679801138,0027582000,0743437314,0440407028,0671726498,0439306094,0671014773,0590877437,0689711522,0142500135,0590997289,0064471101,0590629824,0679889175,0152008640,006058257X,0590494309,0590109715,0590108409,0064410188,0020442408,0064405036,0679882898,0679801111,0439182972,0671551388,0671551353,067980112X,0671014765,0590997343,0590108433,0671600613,0749702834,0590108395,0439420784,039480600X,0670892475,0020442106,0440935741,043930606X,0439420806,0688134009,0440411254,043920786X,0439560403,0671551345,0671014757,0064471047,0440408903,0590108425,0440484839,0590108441,067988291X,0440999197,0671551361,0439306086,0440435749,0590471570,0440415241,0688124887,0064407470,059049418X,0671551337,0590251651,0590132008,0440406498,0060558865,0688802834,0671550284,0553259016,0590213105,0440918022,0679801146,014130636X,0440972329,0689829833,0440487617,031286258X,0439207851,0064401847,006073941X,0440917190,0886771897,0440412579,0380720434,1563891875,0316605425,044040942X,0590467123,0590403885,0385327943,0590402803,0886772222,0064473511,0440228166,0886773784,0679882901,0886773520,0708882919,0440800544,0689864353,0786806532
