MovieID,Popularity
1,H
2,H
3,H
4,L
5,L
6,H
7,H
8,L
9,L
10,H
11,H
12,L
13,L
14,L
15,L
16,H
17,H
18,L
19,L
20,L
21,H
22,L
23,L
24,H
25,H
26,L
27,L
28,L
29,L
30,L
31,L
32,H
33,L
34,H
35,L
36,H
37,L
38,L
39,H
40,L
41,L
42,L
43,L
44,L
45,H
46,L
47,H
48,L
49,L
50,H
52,H
53,L
54,L
55,L
56,L
57,L
58,H
59,L
60,L
61,L
62,H
63,L
64,L
65,L
66,L
67,L
68,L
69,L
70,H
71,L
72,L
73,L
74,L
75,L
76,L
77,L
78,L
79,L
80,L
81,L
82,L
83,L
84,L
85,L
86,L
87,L
88,L
89,L
90,L
92,L
93,L
94,L
95,H
96,L
97,L
98,L
99,L
100,L
101,L
102,L
103,L
104,H
105,L
106,L
107,L
108,L
110,H
111,H
112,H
113,L
114,L
116,L
117,L
118,L
119,L
120,L
121,L
122,L
123,L
124,L
125,L
126,L
127,L
128,L
129,L
130,L
131,L
132,L
133,L
134,L
135,L
136,L
137,L
138,L
139,L
140,L
141,H
142,L
144,H
145,L
146,L
147,L
148,L
149,L
150,H
151,H
152,L
153,H
154,L
155,L
156,L
157,L
158,L
159,L
160,H
161,H
162,H
163,H
164,L
165,H
166,L
167,L
168,L
169,L
170,L
171,L
172,H
173,H
174,L
175,L
176,L
177,L
178,L
179,L
180,H
181,L
182,L
183,L
184,L
185,H
186,L
187,L
188,L
189,L
190,L
191,L
192,L
193,L
194,L
195,L
196,H
197,L
198,H
199,L
200,L
201,L
202,L
203,L
204,L
205,L
206,L
207,L
208,H
209,L
210,L
211,L
212,L
213,L
214,L
215,L
216,L
217,L
218,L
219,L
220,L
222,L
223,H
224,L
225,L
226,L
227,L
228,L
229,L
230,L
231,H
232,L
233,L
234,L
235,H
236,L
237,L
238,L
239,L
240,L
241,L
242,L
243,L
244,L
245,L
246,H
247,H
248,L
249,L
250,L
251,L
252,L
253,H
254,L
255,L
256,L
257,L
258,L
259,L
260,H
261,L
262,L
263,L
264,L
265,H
266,H
267,L
268,L
269,L
270,L
271,L
272,L
273,L
274,L
275,L
276,L
277,L
278,L
279,L
280,L
281,L
282,L
283,L
286,L
287,L
288,H
289,L
290,L
291,L
292,H
293,H
294,L
295,L
296,H
297,L
298,L
299,L
300,H
301,L
302,L
303,L
304,L
305,L
306,L
307,L
308,L
309,L
310,L
311,L
312,L
313,L
314,L
315,L
316,H
317,H
318,H
319,L
320,L
321,L
322,L
324,L
325,L
326,L
327,L
328,L
329,H
330,L
331,L
332,L
333,L
334,L
335,L
336,L
337,H
338,L
339,H
340,L
341,L
342,H
343,L
344,H
345,H
346,L
347,L
348,H
349,H
350,H
351,L
352,L
353,H
354,L
355,L
356,H
357,H
358,L
359,L
360,L
361,L
362,L
363,L
364,H
365,L
366,L
367,H
368,H
369,L
370,L
371,L
372,L
373,L
374,L
375,L
376,L
377,H
378,L
379,H
380,H
381,L
382,L
383,L
384,L
385,L
386,L
387,L
388,L
389,L
390,L
391,L
392,L
393,L
394,L
396,L
397,L
398,L
401,L
402,L
404,L
405,L
406,L
407,L
408,L
409,L
410,H
411,L
412,L
413,L
414,L
415,L
416,L
417,L
418,L
419,L
420,L
421,L
422,L
423,L
424,L
425,L
426,L
427,L
428,L
429,L
430,L
431,L
432,L
433,L
434,H
435,H
436,L
437,L
438,L
439,L
440,H
441,H
442,H
443,L
444,L
445,L
446,L
447,L
448,L
449,L
450,L
451,L
452,L
453,L
454,H
455,L
456,L
457,H
458,L
459,L
460,L
461,L
462,L
463,L
464,L
465,L
466,H
467,L
468,L
469,L
470,L
471,H
472,L
473,L
474,H
475,L
476,L
477,L
478,L
479,L
480,H
481,L
482,L
483,L
484,L
485,H
486,L
487,L
488,L
489,L
490,L
491,L
492,L
493,L
494,L
495,L
496,L
497,H
498,L
499,L
500,H
501,L
502,L
503,L
504,L
505,L
506,L
507,L
508,H
509,H
510,L
511,L
512,L
513,L
514,L
515,H
516,L
517,L
518,L
519,L
520,L
521,L
522,L
523,L
524,H
525,L
526,L
527,H
528,L
529,H
530,L
531,L
532,L
533,L
534,L
535,L
536,L
537,L
538,L
539,H
540,L
541,H
542,L
543,H
544,L
545,L
546,L
547,L
548,L
549,L
550,L
551,H
552,H
553,H
554,L
555,H
556,L
557,L
558,L
559,L
560,L
561,L
562,H
563,L
564,L
565,L
566,L
567,L
568,L
569,L
570,L
571,L
572,L
573,L
574,L
575,L
576,L
577,L
578,L
579,L
580,L
581,L
582,L
583,L
584,L
585,L
586,H
587,H
588,H
589,H
590,H
591,L
592,H
593,H
594,H
595,H
596,H
597,H
598,L
599,L
600,L
601,L
602,L
603,L
605,L
606,L
607,L
608,H
609,L
610,H
611,L
612,L
613,L
614,L
615,L
616,L
617,L
618,L
619,L
621,L
623,L
624,L
626,L
627,L
628,H
630,L
631,L
632,L
633,L
634,L
635,L
637,L
638,L
639,L
640,L
641,L
642,L
643,L
644,L
645,L
647,H
648,H
649,L
650,L
651,L
652,L
653,H
655,L
656,L
657,L
658,L
659,L
660,L
661,H
662,L
663,L
664,L
665,L
666,L
667,L
668,L
669,L
670,L
671,H
672,L
673,H
674,L
678,L
679,L
680,L
681,L
682,L
684,L
685,L
687,L
688,L
690,L
691,L
692,L
694,L
695,L
696,L
697,L
698,L
700,L
701,L
702,L
703,L
704,L
705,L
706,L
707,L
708,H
709,L
710,L
711,L
712,L
714,L
715,L
716,L
717,L
718,L
719,L
720,H
722,L
724,L
725,L
726,L
728,L
729,L
730,L
731,L
732,L
733,H
734,L
735,L
736,H
737,L
741,L
742,L
743,L
744,L
745,H
746,L
747,L
748,L
749,L
750,H
751,L
753,L
754,L
755,L
756,L
757,L
758,L
759,L
760,L
761,L
762,L
763,L
764,L
765,L
766,L
767,L
769,L
771,L
774,L
775,L
776,L
778,H
779,L
780,H
781,L
782,L
783,L
784,L
785,H
786,H
787,L
788,H
789,L
790,L
791,L
792,L
793,L
796,L
